id,district,name,surname,party,alliance,status_change,isMilletvekili,profession,title,platform,political_stance,bsky_handle,bsky_displayName,bsky_match_note,bsky_match_status,bsky_description,bsky_best_score,bsky_source
592,Yozgat,Abdulkadir,Akgül,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
593,Yozgat,Süleyman,Şahan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
594,Yozgat,İbrahim Ethem,Sedef,Milliyetçi Hareket Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Milliyetçi İktidar,nan,nan,no candidates,manual,,999.0,manual
595,Yozgat,Lütfullah,Kayalar,İYİ Parti,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Merkez Sağ Milliyetçi Muhalif,nan,nan,no candidates,manual,,999.0,manual
596,Zonguldak,Muammer,Avcı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
597,Zonguldak,Saffet,Bozkurt,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
598,Zonguldak,Ahmet,Çolakoğlu,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Muhafazakar İktidar,nan,nan,no candidates,manual,,999.0,manual
599,Zonguldak,Deniz,Yavuzyılmaz,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,yavuzyilmazd.bsky.social,Deniz Yavuzyılmaz,score=6,ok,,,auto
600,Zonguldak,Eylem,Ertuğ Ertuğrul,Cumhuriyet Halk Partisi,Millet İttifakı,,True,Milletvekili,TBMM Milletvekili,TBMM,Sosyal Demokrat / Kemalist Muhalif,nan,nan,no candidates,manual,,999.0,manual
1,,Cüneyt,Özdemir,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Televizyon Sunucusu,CNN Türk,Sosyal Demokrat,cuneytozdemir.bsky.social,cuneytozdemir,no candidates,ok,"Hayat, hayaller, umutlar, dünya, aşk, bulantı, ilişkiler, siyaset, teknoloji, diplomasi, can sıkıntısı… tt.gt/cuneyt",7.0,auto
2,,Yılmaz,Özdil,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Köşe Yazarı,Sözcü,Kemalist,nan,nan,score=7,manual,,999.0,manual
3,,Abdurrahman,Dilipak,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,Yeni Şafak,İslamcı Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
4,,Abdülkadir,Selvi,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,Hürriyet,Muhafazakar,nan,nan,no candidates,manual,parody,999.0,manual
5,,Fatih,Altaylı,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Televizyon Sunucusu,Habertürk,Kemalist,nan,nan,low score=5,manual,,999.0,manual
6,,Fatih,Portakal,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Televizyon Sunucusu,FOX TV (Eski),Kemalist,nan,nan,low score=5,manual,Zaman içerisinde nereye evrildiğimizi göreceğiz.,999.0,manual
7,,Can,Ataklı,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Televizyon Sunucusu,Sözcü TV,Kemalist,can-atakli.bsky.social,Can Ataklı,low score=5,ok,Gazeteci,9.0,auto
8,,İsmail,Saymaz,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Köşe Yazarı,Halk TV,Sol,saymaz-ismail.bsky.social,İsmail Saymaz,score=11,ok,,,auto
9,,Nevşin,Mengü,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Televizyon Sunucusu,Halk TV,Muhalif,nan,nan,score=7,manual,,999.0,manual
10,,Ahmet,Hakan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,Hürriyet / CNN Türk,Muhafazakar,yldrmhakan.bsky.social,Ahmet Hakan Yıldırım,score=9,ok,,,auto
11,,Ruşen,Çakır,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Analist,Medyascope,Liberal,nan,nan,low score=5,manual,"Gazeteci-Journalist
medyascope.tv
rusencakir.com",999.0,manual
12,,Ece,Temelkuran,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Yazar,Gazeteci-Yazar,Bağımsız,Sol,nan,nan,score=9,manual,,999.0,manual
13,,Murat,Yetkin,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Editör,YetkinReport,Merkez,nan,nan,no candidates,manual,,999.0,manual
14,,Hakan,Bayrakçı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Televizyon Sunucusu,Kanal 7,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
15,,İsmail,Küçükkaya,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Televizyon Sunucusu,Halk TV,Muhalif,nan,nan,low score=5,manual,Gazeteci,999.0,manual
16,,Uğur,Işılak,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Sanatçı,Şarkıcı,,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
17,,Tarkan,Tevetoğlu,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Şarkıcı,,Liberal,nan,nan,no candidates,manual,,999.0,manual
18,,Zülfü,Livaneli,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Yazar-Besteci,,Kemalist,nan,nan,score=9,manual,,999.0,manual
19,,Mahsun,Kırmızıgül,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Sanatçı,Şarkıcı-Yönetmen,,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
20,,Sezen,Aksu,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Şarkıcı,,Liberal,sezenaksuresmi.bsky.social,Sezen AKSU,score=11,ok,,,auto
21,,Haluk,Levent,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Şarkıcı-Aktivist,AHBAP,Sosyal Demokrat,halukleventacil.bsky.social,Haluk Levent,score=9,ok,,,auto
22,,Barış,Atay,Türkiye İşçi Partisi,Emek ve Özgürlük İttifakı,,False,Eski Milletvekili,Aktivist-Oyuncu,,Sol,nan,nan,low score=0,manual,,999.0,manual
23,,Selahattin,Demirtaş,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,,False,Eski Milletvekili,Eski HDP Eş Genel Başkanı,,Sol-Kürt Hareketi,selahattindemirtas.bsky.social,Selahattin Demirtaş,score=7,ok,,,auto
24,,Osman,Kavala,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,,False,Aktivist,İş İnsanı-Filantropist,Anadolu Kültür,Liberal Sol,nan,nan,no candidates,manual,,999.0,manual
25,,Can,Dündar,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Eski Cumhuriyet Genel Yayın Yönetmeni,Özgürüz,Sol,nan,nan,score=6,manual,,999.0,manual
26,,Ahmet,Altan,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Yazar,Gazeteci-Yazar,,Liberal,ahmetaltan.bsky.social,Ahmet Altan,score=9,ok,,,auto
27,,Mehmet,Altan,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Yazar,Akademisyen-Yazar,,Liberal,mehmetaltan.bsky.social,Mehmet Altan,score=11,ok,,,auto
28,,Müjdat,Gezen,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Tiyatrocu-Oyuncu,,Kemalist,nan,nan,low score=0,manual,,999.0,manual
29,,Metin,Akpınar,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Oyuncu,,Kemalist,nan,nan,score=6,manual,,999.0,manual
30,,Yılmaz,Erdoğan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Sanatçı,Yönetmen-Oyuncu,,Muhafazakar,nan,nan,low score=0,manual,,999.0,manual
31,,Cem,Yılmaz,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Komedyen-Oyuncu,,Liberal,nan,nan,low score=5,manual,Yes I am ,999.0,manual
32,,Şener,Şen,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Oyuncu,,Kemalist,nan,nan,no candidates,manual,"📚TechEcoPol, Journ., SocSci... | studied 
@gsuilt | @cityunilondon almn. | Reading notes, media, ecopol... | 🍯🦡 |
@herkesinpoppisi | Cumhuriyetçi 🇹🇷",999.0,manual
33,,Uğur,Dündar,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Televizyon Sunucusu,,Merkez,nan,nan,low score=5,manual,"55 yıldır televizyon habercisi, SÖZCÜ'de köşe yazarı, Türkiye'nin ilk Uluslararası TV Haberciliği Ödülü Sahibi. (ICIJ Finalist Award Winner)",999.0,manual
34,,Deniz,Baykal,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Eski Milletvekili,Eski CHP Genel Başkanı,,Kemalist,nan,nan,no candidates,manual,,999.0,manual
35,,İlber,Ortaylı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Akademisyen,Tarihçi,,Muhafazakar,nan,nan,low score=5,manual,"İletişim: tuna@ortayli.com
",999.0,manual
36,,Ayşe,Kulin,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Yazar,Roman Yazarı,,Kemalist,nan,nan,no candidates,manual,,999.0,manual
37,,Elif,Şafak,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Yazar,Roman Yazarı,,Liberal,nan,nan,no candidates,manual,,999.0,manual
38,,Orhan,Pamuk,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Yazar,Nobel Ödüllü Yazar,,Liberal,nan,nan,low score=0,manual,Müvezzilerden israrla isteyiniz.,999.0,manual
39,,Murat,Belge,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Akademisyen,Yazar,,Sol,nan,nan,no candidates,manual,,999.0,manual
40,,Canan,Kaftancıoğlu,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Siyasetçi,CHP İstanbul İl Başkanı (Eski),,Sol,nan,nan,no candidates,manual,,999.0,manual
41,,Erol,Mütercimler,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Yazar,Emekli Albay-Yazar,,Milliyetçi,nan,nan,no candidates,manual,,999.0,manual
42,,Tuncay,Özkan,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Eski Milletvekili,Gazeteci,,Kemalist,nan,nan,score=7,manual,,999.0,manual
43,,Mehmet,Barlas,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,Sabah,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
44,,Hilal,Kaplan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,Sabah,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
45,,Fikret,Bila,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Köşe Yazarı,Hürriyet,Merkez,nan,nan,no candidates,manual,,999.0,manual
46,,Metin,Münir,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Şarkıcı,,Liberal,nan,nan,no candidates,manual,,999.0,manual
47,,Fazıl,Say,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Piyanist-Besteci,,Laik,nan,nan,score=11,manual,,999.0,manual
48,,Nükhet,Duru,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Şarkıcı,,Liberal,nan,nan,no candidates,manual,,999.0,manual
49,,Yavuz,Bingöl,Halkların Eşitlik ve Demokrasi Partisi,Emek ve Özgürlük İttifakı,,False,Sanatçı,Şarkıcı-Oyuncu,,Sol,nan,nan,low score=5,manual,Parodi hesap,999.0,manual
50,,Ataol,Behramoğlu,Türkiye İşçi Partisi,Emek ve Özgürlük İttifakı,,False,Yazar,Şair,,Sol,nan,nan,no candidates,manual,,999.0,manual
51,,Hayrettin,Karaman,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Akademisyen,İlahiyatçı,Yeni Şafak,İslamcı,nan,nan,no candidates,manual,,999.0,manual
52,,Rasim Ozan,Kütahyalı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,HaberTürk,Muhafazakar,nan,nan,score=7,manual,,999.0,manual
53,,Hayko,Cepkin,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Rock Müzisyeni,,Liberal,nan,nan,low score=5,manual,"Rahat mı batıyor anlamadım ki
Hayfan",999.0,manual
54,,Ajda,Pekkan,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Şarkıcı,,Kemalist,nan,nan,low score=0,manual,,999.0,manual
55,,İbrahim,Tatlıses,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Sanatçı,Şarkıcı-Oyuncu,,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
56,,Orhan,Gencebay,Milliyetçi Hareket Partisi,Cumhur İttifakı,,False,Sanatçı,Şarkıcı-Besteci,,Milliyetçi,nan,nan,low score=0,manual,,999.0,manual
57,,Bülent,Ersoy,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Sanatçı,Şarkıcı,,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
58,,Gülben,Ergen,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Sanatçı,Şarkıcı-Sunucu,,Muhafazakar,gulbenergen.bsky.social,,low score=0,ok,,7.0,auto
59,,Ebru,Gündeş,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Sanatçı,Şarkıcı,,Muhafazakar,nan,nan,low score=5,manual,"Ebru Gündeş Satıyor 

Satın Almak Hiç Bu Kadar Anlamlı Olmamıştı

Instagram: @ebrugundessatiyor
Web Sitesi: https://ebrugundessatiyor.com
",999.0,manual
60,,Emel,Sayın,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sanatçı,Şarkıcı,,Kemalist,nan,nan,low score=0,manual,,999.0,manual
61,,Fikri,Sağlar,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Eski Milletvekili,Siyasetçi,,Kemalist,nan,nan,no candidates,manual,,999.0,manual
62,,Tansu,Çiller,Doğru Yol Partisi,,,False,Eski Milletvekili,Eski Başbakan,,Merkez Sağ,nan,nan,no candidates,manual,,999.0,manual
63,,Erol,Aksoy,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sosyal Medya Fenomeni,İçerik Üreticisi,Twitter/X,Muhalif,nan,nan,score=9,manual,,999.0,manual
64,,Son Dakika,999,Bağımsız,,,False,Sosyal Medya Fenomeni,Haber Paylaşım Hesabı,Twitter/X,Tarafsız,nan,nan,no candidates,manual,,999.0,manual
65,,Jon,Snow,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sosyal Medya Fenomeni,Mizah Hesabı,Twitter/X,Muhalif,nan,nan,low score=5,manual,"Jon Snow. Northern bastard, raised by #Ned and #Catelyn as theirs. #GOT #ASOIAF #Parody #GreenSatin #AU",999.0,manual
66,,Son Laiklik,Bükücüsü,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Sosyal Medya Fenomeni,Mizah-Siyasi Hesap,Twitter/X,Kemalist,nan,nan,no candidates,manual,,999.0,manual
67,,Furkan,Bölükbaşı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,Sabah,Muhafazakar,nan,nan,low score=5,manual,Akademi • Medya • Liberteryen • x hesabım: x.com/furkancerkes • instagram: instagram.com/furkancerkes • işbirliği: iletisim@furkancerkes.com • youtube: YouTube.com/@propagandamedya,999.0,manual
68,,Cem,Küçük,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Köşe Yazarı,Sabah,Muhafazakar,nan,nan,low score=5,manual,,999.0,manual
69,,Yavuz,Oğhan,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Gazeteci,Sunucu,A Haber,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
70,,Ahmet,Çakar,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Spor Yorumcusu,Eski Hakem,,Muhafazakar,ahmetcakar1.bsky.social,Ahmet Çakar,low score=5,ok,Fifa eski hakemi…Reklam ve organizasyon çalışmaları,9.0,auto
71,,Erman,Toroğlu,Milliyetçi Hareket Partisi,Cumhur İttifakı,,False,Spor Yorumcusu,Eski Futbolcu,,Milliyetçi,nan,nan,low score=5,manual,,999.0,manual
72,,Rıdvan,Dilmen,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Spor Yorumcusu,Eski Futbolcu,,Kemalist,nan,nan,no candidates,manual,,999.0,manual
73,,Acun,Ilıcalı,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,İş İnsanı,Medya Patronu,TV8,Muhafazakar,acunilicali.bsky.social,Acun Ilıcalı,low score=5,ok,,9.0,auto
74,,Ekrem,İmamoğlu,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Siyasetçi,İstanbul Büyükşehir Belediye Başkanı,,Sosyal Demokrat,nan,nan,low score=5,manual,İstanbul Büyükşehir Belediye Başkanı | Cumhurbaşkanı Adayı,999.0,manual
75,,Mansur,Yavaş,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Siyasetçi,Ankara Büyükşehir Belediye Başkanı,,Sosyal Demokrat,mansuryavas06.bsky.social,Mansur Yavaş,score=7,ok,,,auto
76,,Tunç,Soyer,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Siyasetçi,İzmir Büyükşehir Belediye Başkanı (Eski),,Kemalist,nan,nan,score=9,manual,,999.0,manual
77,,Melih,Gökçek,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Siyasetçi,Eski Ankara Büyükşehir Belediye Başkanı,Twitter/X,Muhafazakar,06melihchina.bsky.social,İbrahim Melih Gökçek,low score=5,ok,"76.9 YAŞINDAYIM İNTERNETİ, TWİTTERI, PARSEL'LEMEYİ VE FİŞKİYELERİ ÇOK SEVİYORUM. AYRICA HOBİ OLARAK BELEDİYE BAŞKANLIĞI YAPIYORDUM PARODY ACCOUNT/PARODİ HESABI
https://www.instagram.com/06melihchina/",9.0,auto
78,,Aydın,Doğan,Cumhuriyet Halk Partisi,Millet İttifakı,,False,İş İnsanı,Medya Patronu,Doğan Medya (Eski),Liberal,doganaydin.bsky.social,Doğan Aydın,low score=5,ok,"Software Architect

Experienced product builder, always up for a challenge.

Building Startup Competitor Analysis
🚀 http://competito.rs
🚀 http://indiebuilder.online
🚀 http://launchready.xyz",7.0,auto
79,,Ali,Koç,Milliyetçi Hareket Partisi,Cumhur İttifakı,,False,İş İnsanı,Fenerbahçe Başkanı,,Milliyetçi,aliikoc.bsky.social,ALİ KOÇ,low score=5,ok,Azgın azınlık başkan/parody account,9.0,auto
80,,Dursun,Özbek,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,İş İnsanı,Galatasaray Eski Başkanı,,Muhafazakar,nan,nan,low score=5,manual,PRDY,999.0,manual
81,,Nihat,Genç,Adalet ve Kalkınma Partisi,Cumhur İttifakı,,False,Yazar,Sosyolog,,Milliyetçi Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
82,,Doğu,Perinçek,Vatan Partisi,,,False,Siyasetçi,Vatan Partisi Genel Başkanı,,Ulusalcı,nan,nan,no candidates,manual,,999.0,manual
83,,Ümit,Özdağ,Zafer Partisi,,,False,Siyasetçi,Zafer Partisi Genel Başkanı,,Milliyetçi,nan,nan,score=6,manual,,999.0,manual
84,,Muharrem,İnce,Memleket Partisi,,,False,Siyasetçi,Memleket Partisi Genel Başkanı,,Kemalist,nan,nan,score=8,manual,,999.0,manual
85,,Ali,Babacan,Demokrasi ve Atılım Partisi,,,False,Siyasetçi,DEVA Partisi Genel Başkanı,,Liberal,babacanali.bsky.social,Ali Babacan,score=9,ok,,,auto
86,,Ahmet,Davutoğlu,Gelecek Partisi,,,False,Siyasetçi,Gelecek Partisi Genel Başkanı,,Muhafazakar,nan,nan,no candidates,manual,,999.0,manual
87,,Temel,Karamollaoğlu,Saadet Partisi,,,False,Siyasetçi,Saadet Partisi Genel Başkanı,,İslamcı,nan,nan,score=6,manual,,999.0,manual
88,,Fatih,Erbakan,Yeniden Refah Partisi,,,False,Siyasetçi,Yeniden Refah Partisi Genel Başkanı,,İslamcı,furkanehlivan.bsky.social,Fatih Erbakan,low score=5,ok,,9.0,auto
89,,Gültekin,Uysal,Demokrat Parti,Millet İttifakı,,False,Siyasetçi,Demokrat Parti Genel Başkanı,,Merkez Sağ,gultekinuysal.bsky.social,Gültekin Uysal,score=12,ok,,,auto
90,,Ertuğrul,Özkök,Cumhuriyet Halk Partisi,Millet İttifakı,,False,Gazeteci,Köşe Yazarı,Hürriyet,Liberal,nan,nan,no candidates,manual,,999.0,manual
